Model,RMSE,MAE,R2
Linear Regression,0.22189875978879695,0.1547010098550061,0.889289190283064
Ridge,0.21686077519493382,0.15298651457076487,0.8942592737225816
Lasso,0.28116234699407017,0.21508916386935895,0.8222561441951711
