Feature,SHAP_Importance
cat__location_Miyapur Bachupally Road,3.576102901735701e-05
cat__location_Miyapur HMT Swarnapuri Colony,9.14372734890608e-06
cat__location_Moosapet,3.912878467933801e-05
cat__location_Moti Nagar,1.5105070385931984e-06
cat__location_Moula Ali,9.800483546880614e-06
cat__location_Murad Nagar,3.435607773225103e-05
cat__location_Nacharam,2.3889270172416826e-05
cat__location_Nagole,0.00309261044915446
cat__location_Nallagandla Gachibowli,0.00014761240010917104
cat__location_Nallagandla Road,9.228530375914124e-07
cat__location_Nallakunta,0.0003498952516566953
cat__location_Nanakramguda,0.00026405697583636634
cat__location_Nandagiri Hills,3.427227647219408e-05
cat__location_Narayanguda,2.3356760405913896e-05
cat__location_Narsingi,0.0006094775202575481
cat__location_Neknampur,1.1323630661218084e-05
cat__location_New Maruthi Nagar,0.0
cat__location_Nizampet,0.0006090335385044053
cat__location_Old Alwal,1.1126058531219898e-06
cat__location_Old Bowenpally,0.0002410044406088687
cat__location_Old Nallakunta,1.1711829759709676e-05
cat__location_Padma Colony,0.00028980448104823364
cat__location_Padmarao Nagar,1.6892004489684812e-06
cat__location_Patancheru,0.0008619258651827306
cat__location_Pati,0.0003276151021310279
cat__location_Picket,1.2056371093443371e-05
cat__location_Pocharam,0.0001490118665139675
cat__location_Pragathi Nagar,2.3151454287538586e-05
cat__location_Pragathi Nagar Kukatpally,0.00017534969560963588
cat__location_Pragathi Nagar Road,4.854943121653636e-06
cat__location_Pragati Nagar,1.803505601056969e-05
cat__location_Puppalaguda,0.0031870286376573316
cat__location_Quthbullapur,9.41115917686273e-06
cat__location_Qutub Shahi Tombs,8.348209860584038e-06
cat__location_Rajendra Nagar,3.1409029433722966e-05
cat__location_Rakshapuram,6.578110653119115e-07
cat__location_Ramachandra Puram,1.7532578266314255e-06
cat__location_Ramnagar Gundu,6.32992904967862e-05
cat__location_Rhoda Mistri Nagar,0.00010539293986174832
cat__location_Ring Road,1.322063659829223e-06
cat__location_Safilguda,3.779809875136577e-06
cat__location_Sainikpuri,0.00015448994869931906
cat__location_Saket,0.0005944064776725411
cat__location_Sanath Nagar,0.0004102893545567946
cat__location_Santoshnagar,2.430466763433292e-06
cat__location_Saroornagar,1.8978521266813127e-05
cat__location_Secunderabad Railway Station Road,1.3172860412295873e-05
cat__location_Serilingampally,7.986908602635262e-05
cat__location_Shadnagar,0.00010031736924355442
cat__location_Shaikpet,7.039775046580203e-05
cat__location_Shamshabad,2.8178638726811744e-05
cat__location_Sikh Village,2.9225304918296557e-05
